LifetimePolicyReference,PolicyReference,PriorPolicyRef,EclipsePolicyID,PriorEclipsePolicyID,GroupClass,PlacingBasis,SubClassCode,SubClass,StatsMinorClassCode,StatsMinorClassDescription,InceptionDate,ExpiryDate,RenewalDate,Territory,YOA,Limit_100Pct_USD,GNWP,GGTP,GGWP,Inc,Inc_Cat,Exposure,LeaderStatus,LinePct,LeaderLinePct,BrokerUltimateName,XS_100Pct_USD,Ded_100Pct_USD,ClaimCount,PLR,RARC,GrossGrossModelPrice,GrossNetModelPrice,GrossGrossTechnicalPrice,GrossNetTechnicalPrice,EffectiveLine,Inc_ExCat,Full_Inc_ExCat,Full_GNWP,PricingStrength,PricingStrength2,BrokerFeePct,YOA_cat,Excess,Attachment,CLR_Cat,CLR_ExCat,ClaimFrequency,ILR_Cat,ILR_ExCat,ModelToActualRto,ModelToTechnicalRto,PLR_ex_adj,PLR_band,PLR_band_ex_adj,YOA_recent
KA142H12U000,KA142H16A000,KA142H15A000,697599,648601,D&O WW,Binder,90418,LEISURE / HOTELS / ENTERTAINMENT,DO,D & O GENERAL,2016-01-01,2017-03-31,2017-04-01,UNITED KINGDOM,2016.0,308900.0,28740.266052,40309.176496,39641.7548,0.0,0.0,308900.0,LEAD,100.0,100.0,CARROLL INSURANCE GROUP,0.0,0.0,0.0,0.725,0.0,0.0,0.0,40309.18,29224.15,1.0,0.0,0.0,28740.266052,0.9834424378263786,-0.01655756217362138,27.500015584577508,2016,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Upper Quantile,Lower quantile,Recent
KB429L10A000,KB429L10A000,KB429L09A000,440615,-1,D&O WW,OM,90425,SPECIALTY / FINANCE / PROFESSIONAL SERVI,DP,D & O PRIVATE,2010-10-01,2011-09-30,2011-10-01,UNITED KINGDOM,2010.0,12356000.0,54366.4,30890.0,67958.0,0.0,0.0,6178000.0,LEAD,50.0,50.0,AON,0.0,123560.0,0.0,0.3228,0.0,12931.17,10344.94,30890.0,24712.0,0.5,0.0,0.0,108732.8,2.2,1.2,19.999999999999996,2010,Primary,123560.0,0.0,0.0,0.0,0.0,0.0,0.19028179169487036,0.4186199417287148,0.13513051719002914,Lower quantile,Lower Middle,History
KC411Z09A000,KC411Z11A000,KC411Z10A000,489852,440913,D&O WW,OM,90429,UTILITIES,DT,D & O PUBLIC - 1 A SIDE,2011-09-30,2012-09-28,2012-09-29,ITALY,2011.0,33695118.625590004,15499.754567771399,17268.748295614874,16847.559312795,0.0,0.0,16847559.312795002,FOLLOW,50.0,50.0,AON,56158531.04265,0.0,1.0,0.7037,-0.06,15696.87,14441.12,17268.75,15887.25,0.5,0.0,0.0,30999.509135542798,0.9756097560975611,-0.024390243902438897,8.000000000000018,2011,Excess,56158531.04265,0.0,0.0,64.51715061858447,0.0,0.0,0.9316999399479128,0.9089754614549403,0.6396460322258415,Upper Middle,Upper Quantile,History
KC120X14A000,KC120X16A000,KC120X15A000,738958,689682,D&O WW,OM,90427,TELECOMMUNICATIONS,DQ,D & O PUBLIC,2016-08-31,2017-08-30,2017-08-31,UNITED KINGDOM,2016.0,20000000.0,59023.495,50000.0,59511.5,0.0,0.0,10000000.0,FOLLOW,50.0,50.0,MARSH,70000000.0,0.0,2.0,0.599,-0.05,33379.5,33105.79,50000.0,49590.0,0.5,0.0,0.0,118046.99,1.19023,0.19023,0.8200179797182017,2016,Excess,70000000.0,0.0,0.0,33.884811463638336,0.0,0.0,0.5608915923813045,0.66759,0.39988640999999997,Lower Middle,Upper Middle,Recent
KC606A09A000,KC606A16A000,KC606A15A000,744113,699828,D&O WW,OM,90421,OIL AND GAS,DQ,D & O PUBLIC,2016-12-31,2017-12-30,2017-12-31,WESTERN AUSTRALIA,2016.0,6885099.74368,7616.62168312,10966.86384976,8751.55735112,0.0,0.0,6885099.74368,LEAD,100.0,100.0,AON,120489245.51439998,0.0,0.0,0.894,-0.05,11781.34,10253.47,10966.86,9544.63,1.0,0.0,0.0,7616.62168312,0.7979999999098666,-0.20200000009013336,12.968385196661647,2016,Excess,120489245.51439998,0.0,0.0,0.0,0.0,0.0,1.3461992565805738,1.074267383736092,0.9603950410600663,Upper Quantile,Upper Quantile,Recent
KC572S09B000,KC572S11B000,KC572S10B000,491074,447498,D&O WW,OM,90006,INSURANCE BROKERS,DP,D & O PRIVATE,2011-12-01,2012-11-30,2012-12-01,SOUTH AFRICA,2011.0,575539.56835,2581.72713832,3442.31018232,3442.31018232,0.0,0.0,575539.56835,LEAD,100.0,100.0,SAFEONLINE,575539.56835,5755.3956835,0.0,0.6865,0.0,0.0,0.0,3442.31,2581.73,1.0,0.0,0.0,2581.72713832,1.0,0.0,25.000159730521332,2011,Excess,581294.9640335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Upper Middle,Lower quantile,History
KC162X08A000,KC162X12A000,KC162X11A000,528710,483898,D&O WW,OM,90425,SPECIALTY / FINANCE / PROFESSIONAL SERVI,DP,D & O PRIVATE,2012-10-01,2013-09-30,2013-10-01,UNITED KINGDOM,2012.0,12356000.0,35585.28,30890.0,44481.6,0.0,0.0,12356000.0,LEAD,100.0,100.0,AON,0.0,0.0,0.0,0.4849,0.0,10440.82,8352.66,30890.0,24712.0,1.0,0.0,0.0,35585.28,1.44,0.43999999999999995,19.999999999999996,2012,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.23472222222222222,0.33799999999999997,0.1638962,Lower quantile,Lower Middle,History
KA126J06A000,KA126J17A000,KA126J16A000,747842,706487,D&O WW,OM,90423,PROPERTY / REAL ESTATE,DN,D & O NOT PROFIT,2017-02-28,2018-02-27,2018-02-28,USA VIRGIN ISLANDS,2017.0,1000000.0,4275.0,5000.0,5700.0,0.0,0.0,1000000.0,LEAD,100.0,100.0,R K HARRISON,0.0,5000.0,0.0,0.654,-0.05,4622.0,3466.5,5000.0,3750.0,1.0,0.0,0.0,4275.0,1.14,0.14,25.0,2017,Primary,5000.0,0.0,0.0,0.0,0.0,0.0,0.8108771929824561,0.9244,0.6045576,Upper Middle,Upper Quantile,Recent
KC518J09A000,KC518J18A000,KC518J17A000,837351,776869,D&O WW,OM,90424,RETAILERS,DT,D & O PUBLIC - 1 A SIDE,2018-07-24,2019-07-23,2019-07-24,NETHERLANDS,2018.0,100000000.0,24995.5625,25000.0,25000.0,0.0,0.0,25000000.0,FOLLOW,25.0,25.0,WILLIS,250000000.0,0.0,1.0,0.782,0.0,16383.25,16380.33,25000.0,24995.55,0.25,0.0,0.0,99982.25,1.0,0.0,0.01775000000000526,2018,Excess,250000000.0,0.0,0.0,40.00710126047374,0.0,0.0,0.65533,0.65533,0.51246806,Upper Quantile,Upper Middle,Recent
KC558N09U011,KC801E13A000,KC801E12A000,547316,505690,D&O WW,OM,90420,MINING,DT,D & O PUBLIC - 1 A SIDE,2013-03-01,2014-02-28,2014-03-01,BRAZIL,2013.0,25000000.0,17010.0,20000.0,18900.0,0.0,0.0,5000000.0,FOLLOW,20.0,30.0,WILLIS,150000000.0,0.0,4.0,0.7893,-0.1,12790.2,11511.18,20000.0,18000.0,0.2,0.0,0.0,85050.0,0.945,-0.055,9.999999999999998,2013,Excess,150000000.0,0.0,0.0,235.15579071134624,0.0,0.0,0.6767301587301587,0.63951,0.504765243,Upper Quantile,Upper Middle,History
