LifetimePolicyReference,PolicyReference,PriorPolicyRef,EclipsePolicyID,PriorEclipsePolicyID,GroupClass,PlacingBasis,SubClassCode,SubClass,StatsMinorClassCode,StatsMinorClassDescription,InceptionDate,ExpiryDate,RenewalDate,Territory,YOA,Limit_100Pct_USD,GNWP,GGTP,GGWP,Inc,Inc_Cat,Exposure,LeaderStatus,LinePct,LeaderLinePct,BrokerUltimateName,XS_100Pct_USD,Ded_100Pct_USD,ClaimCount,PLR,RARC,GrossGrossModelPrice,GrossNetModelPrice,GrossGrossTechnicalPrice,GrossNetTechnicalPrice,EffectiveLine,Inc_ExCat,Full_Inc_ExCat,Full_GNWP,PricingStrength,PricingStrength2,BrokerFeePct,YOA_cat,Excess,Attachment,CLR_Cat,CLR_ExCat,ClaimFrequency,ILR_Cat,ILR_ExCat,ModelToActualRto,ModelToTechnicalRto,PLR_ex_adj,PLR_band,PLR_band_ex_adj,YOA_recent
TN677H19B000,TN677H19B000,,917054,-1,FI D&O,OM,90433,GLOBAL FINANCIAL SERVICES,DT,D & O PUBLIC - 1 A SIDE,2019-11-30,2020-11-29,2020-11-30,AUSTRALIA,2019.0,10327649.61552,316.64498792,218.04892676,325.60308792,0.0,0.0,10327649.61552,LEAD,100.0,100.0,MARSH,144587094.61728,0.0,0.0,0.494,0.0,31.15,30.29,218.05,212.05,1.0,0.0,0.0,316.64498792,1.493257007764967,0.49325700776496684,2.751233121659147,2019,Excess,144587094.61728,0.0,0.0,0.0,0.0,0.0,0.09566862586897053,0.14285714285714285,0.07057142857142856,Lower quantile,Upper Quantile,Recent
TM771N14B000,TM771N16B000,TM771N15B000,741401,687417,FI D&O,OM,90500,COMMERCIAL BANK,DP,D & O PRIVATE,2016-09-18,2017-09-17,2017-09-18,SLOVENIA,2016.0,56158531.04265,13760.244068725315,13590.3645123213,18346.992091633754,0.0,0.0,6177438.4146915,FOLLOW,11.0,20.0,R K HARRISON,84237796.563975,0.0,1.0,0.507,-0.13,6795.18,5096.39,13590.36,10192.77,0.11000000000000001,0.0,0.0,125093.12789750284,1.35,0.35000000000000003,25.0,2016,Excess,84237796.563975,0.0,0.0,72.67312956118484,0.0,0.0,0.37037024739867896,0.5,0.2535,Lower quantile,Upper Quantile,Recent
TP098H20A000,TP098H20A000,,931416,-1,FI D&O,Re,90500,COMMERCIAL BANK,DS,D & O GENERAL - 1 A SIDE,2020-04-01,2021-03-31,2021-04-01,ISRAEL,2020.0,10000000.0,16200.0,16141.5,18000.0,0.0,0.0,3000000.0,FOLLOW,30.0,35.0,AON,142000000.0,0.0,0.0,0.669,0.0,3587.1,3228.39,16141.5,14527.35,0.3,0.0,0.0,54000.0,1.115137998327293,0.115137998327293,9.999999999999998,2020,Excess,142000000.0,0.0,0.0,0.0,0.0,0.0,0.19928333333333334,0.22222841743332403,0.14867081126289378,Lower Middle,Upper Quantile,Recent
TM748N14A000,TM748N15A000,TM748N14A000,682670,626794,FI D&O,OM,90500,COMMERCIAL BANK,DN,D & O NOT PROFIT,2015-07-31,2016-07-30,2016-07-31,AUSTRALIA,2015.0,17212749.3592,8779.79204672,12574.28084888,9755.32567704,0.0,0.0,4015734.42550136,FOLLOW,23.33,30.0,MARSH,292616739.1064,0.0,2.0,0.924,0.02,8671.87,7804.68,12574.28,11316.85,0.2333,0.0,0.0,37633.05635113588,0.7758157937047282,-0.22418420629527183,10.000010892675814,2015,Excess,292616739.1064,0.0,0.0,227.79582811954756,0.0,0.0,0.8889370060099576,0.689651415428955,0.6372379078563545,Upper Quantile,Upper Quantile,History
TN677H18A000,TN677H19A000,TN677H18A000,903475,868731,FI D&O,OM,90433,GLOBAL FINANCIAL SERVICES,DT,D & O PUBLIC - 1 A SIDE,2019-11-30,2020-11-29,2020-11-30,AUSTRALIA,2019.0,10327649.61552,325317.03329908,217877.65295396,325317.03329908,0.0,0.0,10327649.61552,LEAD,100.0,100.0,MARSH,144587094.61728,0.0,2.0,0.494,0.0,31125.28,31125.28,217877.65,217877.65,1.0,0.0,0.0,325317.03329908,1.4931179443530316,0.4931179443530316,0.0,2019,Excess,144587094.61728,0.0,0.0,6.147849006606738,0.0,0.0,0.09567676086417828,0.14285669044071295,0.0705712050777122,Lower quantile,Upper Quantile,Recent
TM245D13A000,TM245D13M000,TM245D13A000,598916,555906,FI D&O,Re,90500,COMMERCIAL BANK,DP,D & O PRIVATE,2013-12-31,2014-12-31,2014-12-31,WORLDWIDE (EXCLUDING USA & CANADA),2013.0,500000.0,3625.0,4601.0,5000.0,0.0,0.0,500000.0,LEAD,100.0,100.0,ARTHUR J. GALLAGHER & CO.,0.0,20000.0,0.0,0.7155,0.0,3539.0,2565.78,4601.0,3335.73,1.0,0.0,0.0,3625.0,1.0867202782003913,0.08672027820039122,27.500000000000004,2013,Primary,20000.0,0.0,0.0,0.0,0.0,0.0,0.7078,0.7691806129102369,0.5503487285372745,Lower Middle,Upper Quantile,History
TM792N14A000,TM792N16A000,TM792N15A000,740475,691219,FI D&O,OM,90500,COMMERCIAL BANK,DP,D & O PRIVATE,2016-10-15,2017-10-14,2017-10-15,CONGO (DEM. REP.),2016.0,5000000.0,3010.4662,2432.7,4013.955,0.0,0.0,1351500.0,LEAD,27.03,50.0,OXFORD INSURANCE BROKERS,0.0,0.0,0.0,0.415,0.0,1216.35,912.26,2432.7,1824.53,0.2703,0.0,0.0,11137.499815020348,1.6500000000000001,0.6500000000000001,25.000001245654225,2016,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.30303030303030304,0.5,0.2075,Lower quantile,Upper Quantile,Recent
TM442E13A000,TM442E13A000,,591730,-1,FI D&O,OM,90202,FUND MANAGERS,DP,D & O PRIVATE,2013-12-25,2014-12-24,2014-12-25,WORLDWIDE,2013.0,22463412.41706,29847.879617498624,35770.28001626422,37309.84952187328,0.0,0.0,14976357.058453903,LEAD,66.67,66.67,AON BENFIELD,0.0,28079.265521325,0.0,0.7455,0.0,35770.28,28616.22,35770.28,28616.22,0.6667000000000001,0.0,0.0,44769.58094720057,1.0430404655739076,0.0430404655739076,19.999999999999996,2013,Primary,28079.265521325,0.0,0.0,0.0,0.0,0.0,0.9587355740748649,1.0,0.7455,Upper Middle,Upper Quantile,History
TL496H10A000,TL496H10A000,,425107,-1,FI D&O,Re,90425,SPECIALTY / FINANCE / PROFESSIONAL SERVI,DP,D & O PRIVATE,2010-05-15,2011-06-30,2011-07-01,BAHRAIN,2010.0,15000000.0,3979.361,4244.6017,5305.8148,0.0,0.0,3760500.0,FOLLOW,25.07,32.5,LONSDALE INSURANCE BROKERS LIMITED,10000000.0,0.0,0.0,0.66,0.0,12733.81,9550.35,4244.6,3183.45,0.2507,0.0,0.0,15872.999601116873,1.250014765814187,0.25001476581418697,25.000001884724664,2010,Excess,10000000.0,0.0,0.0,0.0,0.0,0.0,2.3999725734867337,3.000002355934599,1.9800015549168355,Lower Middle,Upper Quantile,History
TM356K13A000,TM356K19A000,TM356K18A000,898717,849396,FI D&O,OM,90506,INSURANCE COMPANY,DT,D & O PUBLIC - 1 A SIDE,2019-09-22,2020-09-22,2020-09-22,NEW YORK,2019.0,100000000.0,69164.55,67193.8,79045.2,0.0,0.0,5000000.0,LEAD,5.0,100.0,LLOYD & PARTNERS LIMITED,450000000.0,0.0,2.0,0.627,0.05,18549.0,16230.38,67193.8,58794.58,0.05,0.0,0.0,1383291.0,1.1763763918694878,0.17637639186948786,12.49999999999999,2019,Excess,450000000.0,0.0,0.0,28.916547566636375,0.0,0.0,0.23466320535592294,0.27605225482112933,0.1730847637728481,Lower quantile,Upper Quantile,Recent
