LifetimePolicyReference,PolicyReference,PriorPolicyRef,EclipsePolicyID,PriorEclipsePolicyID,GroupClass,PlacingBasis,SubClassCode,SubClass,StatsMinorClassCode,StatsMinorClassDescription,InceptionDate,ExpiryDate,RenewalDate,Territory,YOA,Limit_100Pct_USD,GNWP,GGTP,GGWP,Inc,Inc_Cat,Exposure,LeaderStatus,LinePct,LeaderLinePct,BrokerUltimateName,XS_100Pct_USD,Ded_100Pct_USD,ClaimCount,PLR,RARC,GrossGrossModelPrice,GrossNetModelPrice,GrossGrossTechnicalPrice,GrossNetTechnicalPrice,EffectiveLine,Inc_ExCat,Full_Inc_ExCat,Full_GNWP,PricingStrength,PricingStrength2,BrokerFeePct,YOA_cat,Excess,Attachment,CLR_Cat,CLR_ExCat,ClaimFrequency,ILR_Cat,ILR_ExCat,ModelToActualRto,ModelToTechnicalRto,PLR_ex_adj,PLR_band,PLR_band_ex_adj,YOA_recent
CG339K14A000,CG339K14A000,,618908,-1,SPECIE,OM,23900,Cash in Transit,CA,CASH IN TRANSIT,2014-07-01,2015-06-30,2015-07-01,WORLDWIDE,2014.0,20224034.044959996,16045.62899036,26218.99163216,24685.58299556,110.070722,0.0,808965.4066052089,FOLLOW,4.0,50.0,WILLIS,0.0,2528.00425562,2.0,0.8,0.0,0.0,0.0,26218.99,17042.34,0.0400002,110.070722,2751.754291228544,401138.7190654047,0.9415153466573773,-0.05848465334262263,34.99999982481272,2014,Primary,2528.00425562,0.0,0.00013606357095281418,124.64453722578112,0.0,0.006859857102898803,0.0,0.0,0.0,Upper Quantile,Upper Quantile,History
CD399J07A000,CD399J18A000,CD399J16A000,816149,-1,SPECIE,OM,23705,Precious Metal Refining/Recycling,SP,SPECIE,2018-01-01,2019-06-30,2019-07-01,WORLDWIDE,2018.0,125000000.0,33210.0,49134.6,61500.0,0.0,0.0,18750000.0,FOLLOW,15.0,15.0,WILLIS,0.0,0.0,0.0,0.65,0.0,0.0,0.0,49134.6,26532.68,0.15,0.0,0.0,221400.0,1.2516637969984492,0.2516637969984492,46.0,2018,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Upper Quantile,Upper Quantile,History
CF409G13A000,CF409G14A000,CF409G13A000,643250,588614,SPECIE,Binder,23810,Jewellers Block Facility,JB,JEWELLERS BLOCK,2014-12-01,2015-11-30,2015-12-01,WORLDWIDE,2014.0,5615853.104265,18835.576815240845,30365.64038273831,26907.967039368446,37232.420949,0.0,280792.65521325,FOLLOW,5.0,35.0,ARTHUR J. GALLAGHER & CO.,0.0,0.0,12.0,0.85,0.0,0.0,0.0,30365.64,21255.95,0.05,37232.420949,744648.41898,376711.5363048169,0.8861320459641807,-0.11386795403581931,30.000000417411943,2014,Primary,0.0,0.0,0.1325975600064167,637.092249295502,0.0,1.9767072340929486,0.0,0.0,0.0,Upper Quantile,Upper Quantile,History
CN311E18A000,CN311E18A000,,828190,-1,SPECIE,OM,24105,Corporate Collection,WA,Fine Arts/War,2018-02-22,2018-09-14,2018-09-15,USA,2018.0,23000000.0,6297.5249,7881.0,9688.4999,0.0,0.0,11500000.0,FOLLOW,50.0,50.0,ARTHUR J. GALLAGHER & CO.,0.0,0.0,0.0,0.65,0.0,0.0,0.0,7881.0,5122.65,0.5,0.0,0.0,12595.0498,1.2293490546884913,0.2293490546884914,35.000000361253036,2018,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Upper Quantile,Upper Quantile,History
CF807C14B000,CF807C14B000,,610479,-1,SPECIE,Re,24000,Courier/Carrier,CA,CASH IN TRANSIT,2014-04-14,2015-04-14,2015-04-14,VENEZUELA,2014.0,500000.0,13908.6823,23826.8695,21113.75,0.0,0.0,44450.0,FOLLOW,8.89,20.0,BUTCHER ROBINSON & STAPLES,10000.0,0.0,0.0,0.85,0.0,0.0,0.0,23826.87,15695.95,0.0889,0.0,0.0,156453.1192350956,0.8861319360480822,-0.11386806395191784,34.12500242732817,2014,Excess,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Upper Quantile,Upper Quantile,History
CE953N15B000,CE953N15B000,,678179,-1,SPECIE,OM,24104,Gallery/Dealers,WA,Fine Arts/War,2015-07-01,2016-06-30,2016-07-01,USA & EUROPE,2015.0,172500000.0,12249.915,10327.4239,12249.915,0.0,0.0,12249915.0,FOLLOW,7.1014,14.492753623188406,JLT,1900000000.0000002,0.0,0.0,0.65,0.0,0.0,0.0,10327.42,10327.42,0.071014,0.0,0.0,172500.00000000003,1.1861539836667303,0.1861539836667304,0.0,2015,Excess,1900000000.0000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Upper Quantile,Upper Quantile,History
CL980X16A000,CL980X17A000,CL980X16A000,783309,724029,SPECIE,OM,24105,Corporate Collection,WA,Fine Arts/War,2017-06-01,2018-04-30,2018-05-01,WORLDWIDE,2017.0,14000330.0,4169.0302,7784.536,7250.4869,18116.18,0.0,4200603.0118,LEAD,30.0036,33.34,MARSH,0.0,1500.0,1.0,0.85,0.0,0.0,0.0,7784.54,4476.11,0.3000359999942859,18116.18,60380.0210652889,13895.099921607401,0.9313961551465624,-0.06860384485343766,42.49999679331881,2017,Primary,1500.0,0.0,0.004312756989677307,239.86393766108964,0.0,4.3454182701770785,0.0,0.0,0.0,Upper Quantile,Upper Quantile,History
CF437H17G000,CF437H17G000,,753947,-1,SPECIE,OM,23703,Vault,SP,SPECIE,2017-01-01,2017-12-31,2018-01-01,USA,2017.0,750000000.0,16666.5625,15788.8079,16666.5625,0.0,0.0,39999750.0,FOLLOW,5.3333,13.333333333333334,JLT,1750000000.0,0.0,0.0,0.75,0.0,0.0,0.0,15788.81,15788.81,0.053333,0.0,0.0,312500.0,1.0555934688394049,0.05559346883940492,0.0,2017,Excess,1750000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Upper Quantile,Upper Quantile,History
CF943F14A000,CF943F14A000,,609475,-1,SPECIE,Re,24200,ART EXHIBITIONS & RELATED TRANSITS,WA,Fine Arts/War,2014-04-01,2014-09-28,2014-09-29,SOUTH KOREA,2014.0,439998945.8414244,4766.182728735238,6637.573226472391,6665.990004765282,0.0,0.0,9522844.384932013,FOLLOW,2.1643,8.66,BESSO,0.0,0.0,0.0,0.75,0.0,0.0,0.0,6637.57,4745.86,0.021642879999908105,0.0,0.0,220219.43145992933,1.0042811999692232,0.004281199969223261,28.50000187026891,2014,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Upper Quantile,Upper Quantile,History
CD449N08A000,CD449N20A000,CD449N19A000,915560,872232,SPECIE,OM,23806,Wholesale ,JB,JEWELLERS BLOCK,2020-02-28,2021-02-27,2021-02-28,WORLDWIDE,2020.0,22000000.0,9450.0,10679.0,12600.0,0.0,0.0,4400000.0,FOLLOW,20.0,25.0,WILLIS,0.0,10000.0,0.0,0.6365,0.0,10679.0,8009.25,10679.0,8009.25,0.2,0.0,0.0,47250.0,1.1798857570933607,0.1798857570933608,25.0,2020,Primary,10000.0,0.0,0.0,0.0,0.0,0.0,0.8475396825396826,1.0,0.6365,Upper Quantile,Upper Quantile,Recent
